imageFilename,bboxes
.\rgb_\C501_2017_12_31_16_49_36\7.jpg,"[[147.0, 74.0, 89.0, 45.0], [297.0, 54.0, 31.0, 28.0], [98.0, 127.0, 198.0, 79.0]]"
.\rgb_\C501_2017_12_31_16_49_36\8.jpg,"[[177.0, 63.0, 91.0, 50.0], [188.0, 130.0, 163.0, 82.0], [300.0, 52.0, 24.0, 24.0]]"
.\rgb_\C501_2017_12_31_16_49_36\9.jpg,"[[173.0, 57.0, 106.0, 48.0], [206.0, 134.0, 145.0, 75.0], [299.0, 48.0, 38.0, 35.0]]"
.\rgb_\C501_2017_12_31_16_49_36\10.jpg,"[[210.0, 67.0, 87.0, 29.0], [262.0, 122.0, 89.0, 77.0], [312.0, 47.0, 20.0, 26.0]]"
.\rgb_\C501_2017_12_31_16_49_36\11.jpg,"[[230.0, 58.0, 63.0, 41.0], [300.0, 124.0, 51.0, 86.0], [301.0, 52.0, 27.0, 19.0]]"
.\rgb_\C501_2017_12_31_16_49_36\12.jpg,"[[242.0, 54.0, 62.0, 49.0], [300.0, 46.0, 37.0, 25.0]]"
.\rgb_\C501_2017_12_31_16_49_36\13.jpg,"[[257.0, 53.0, 64.0, 46.0]]"
.\rgb_\C501_2017_12_31_16_49_36\14.jpg,"[[274.0, 55.0, 47.0, 39.0]]"
.\rgb_\C501_2017_12_31_16_49_36\15.jpg,"[[1.0, 125.0, 68.0, 56.0]]"
.\rgb_\C501_2017_12_31_16_49_36\16.jpg,"[[1.0, 112.0, 89.0, 90.0], [280.0, 44.0, 49.0, 52.0]]"
.\rgb_\C501_2017_12_31_16_49_36\17.jpg,"[[1.0, 124.0, 140.0, 65.0]]"
.\rgb_\C501_2017_12_31_16_49_36\18.jpg,"[[24.0, 120.0, 152.0, 64.0]]"
.\rgb_\C501_2017_12_31_16_49_36\19.jpg,"[[56.0, 115.0, 153.0, 76.0]]"
.\rgb_\C501_2017_12_31_16_49_36\20.jpg,"[[139.0, 122.0, 142.0, 61.0], [94.0, 101.0, 114.0, 50.0]]"
.\rgb_\C501_2017_12_31_16_9_35\1.jpg,"[[114.0, 80.0, 93.0, 42.0], [262.0, 159.0, 89.0, 64.0]]"
.\rgb_\C501_2017_12_31_16_9_35\2.jpg,"[[136.0, 78.0, 104.0, 45.0]]"
.\rgb_\C501_2017_12_31_16_9_35\3.jpg,"[[162.0, 71.0, 80.0, 44.0]]"
.\rgb_\C501_2017_12_31_16_9_35\4.jpg,"[[173.0, 68.0, 86.0, 44.0]]"
.\rgb_\C501_2017_12_31_16_9_35\5.jpg,"[[203.0, 64.0, 73.0, 43.0]]"
.\rgb_\C501_2017_12_31_16_9_35\6.jpg,"[[1.0, 96.0, 83.0, 44.0], [214.0, 53.0, 92.0, 50.0]]"
.\rgb_\C501_2017_12_31_16_9_35\7.jpg,"[[6.0, 88.0, 98.0, 46.0]]"
.\rgb_\C501_2017_12_31_16_9_35\8.jpg,"[[249.0, 50.0, 79.0, 51.0], [39.0, 88.0, 102.0, 43.0]]"
.\rgb_\C501_2017_12_31_16_9_35\9.jpg,"[[256.0, 53.0, 69.0, 40.0], [63.0, 80.0, 103.0, 44.0]]"
.\rgb_\C501_2017_12_31_16_9_35\10.jpg,"[[107.0, 81.0, 93.0, 43.0], [281.0, 61.0, 53.0, 25.0]]"
.\rgb_\C501_2017_12_31_16_9_35\11.jpg,"[[129.0, 75.0, 98.0, 48.0], [288.0, 55.0, 60.0, 36.0]]"
.\rgb_\C501_2017_12_31_16_9_35\12.jpg,"[[172.0, 57.0, 83.0, 53.0], [303.0, 55.0, 42.0, 32.0]]"
.\rgb_\C501_2017_12_31_16_9_35\13.jpg,"[[1.0, 97.0, 90.0, 66.0], [193.0, 59.0, 90.0, 54.0], [305.0, 39.0, 46.0, 42.0]]"
.\rgb_\C501_2017_12_31_16_9_35\14.jpg,"[[1.0, 93.0, 113.0, 74.0], [196.0, 64.0, 90.0, 46.0], [312.0, 45.0, 37.0, 35.0]]"
.\rgb_\C501_2017_12_31_16_9_35\15.jpg,"[[226.0, 63.0, 79.0, 41.0], [37.0, 97.0, 151.0, 82.0]]"
.\rgb_\C501_2017_12_31_16_9_35\16.jpg,"[[249.0, 56.0, 66.0, 43.0], [95.0, 94.0, 142.0, 70.0]]"
.\rgb_\C501_2017_12_31_16_9_35\17.jpg,"[[142.0, 96.0, 152.0, 82.0], [261.0, 62.0, 60.0, 41.0]]"
.\rgb_\C501_2017_12_31_16_9_35\18.jpg,"[[192.0, 96.0, 138.0, 72.0]]"
.\rgb_\C501_2017_12_31_16_9_35\19.jpg,"[[274.0, 95.0, 77.0, 75.0], [285.0, 56.0, 63.0, 43.0]]"
.\rgb_\C501_2017_12_31_16_9_35\20.jpg,"[[307.0, 53.0, 44.0, 41.0]]"
.\rgb_\C501_2017_12_31_17_29_40\1.jpg,"[[39.0, 112.0, 139.0, 62.0]]"
.\rgb_\C501_2017_12_31_17_29_40\2.jpg,"[[107.0, 105.0, 169.0, 75.0], [223.0, 56.0, 70.0, 49.0]]"
.\rgb_\C501_2017_12_31_17_29_40\3.jpg,"[[165.0, 103.0, 157.0, 79.0], [244.0, 57.0, 76.0, 54.0]]"
.\rgb_\C501_2017_12_31_17_29_40\4.jpg,"[[218.0, 103.0, 133.0, 69.0], [258.0, 60.0, 53.0, 40.0]]"
.\rgb_\C501_2017_12_31_17_29_40\5.jpg,"[[254.0, 94.0, 97.0, 89.0], [260.0, 46.0, 68.0, 59.0]]"
.\rgb_\C501_2017_12_31_17_29_40\6.jpg,"[[1.0, 124.0, 106.0, 60.0], [279.0, 42.0, 54.0, 52.0]]"
.\rgb_\C501_2017_12_31_17_29_40\7.jpg,"[[1.0, 113.0, 154.0, 79.0], [296.0, 45.0, 48.0, 41.0]]"
.\rgb_\C501_2017_12_31_17_29_40\8.jpg,"[[307.0, 54.0, 44.0, 33.0], [48.0, 118.0, 163.0, 80.0]]"
.\rgb_\C501_2017_12_31_17_29_40\9.jpg,"[[313.0, 47.0, 37.0, 36.0], [70.0, 124.0, 165.0, 68.0]]"
.\rgb_\C501_2017_12_31_17_29_40\10.jpg,"[[1.0, 104.0, 87.0, 54.0], [206.0, 117.0, 145.0, 78.0]]"
.\rgb_\C501_2017_12_31_17_29_40\11.jpg,"[[1.0, 101.0, 113.0, 55.0], [248.0, 118.0, 103.0, 66.0]]"
.\rgb_\C501_2017_12_31_17_29_40\12.jpg,"[[310.0, 107.0, 41.0, 68.0], [8.0, 101.0, 155.0, 69.0]]"
.\rgb_\C501_2017_12_31_17_29_40\13.jpg,"[[53.0, 101.0, 150.0, 61.0]]"
.\rgb_\C501_2017_12_31_17_29_40\14.jpg,"[[91.0, 92.0, 145.0, 77.0]]"
.\rgb_\C501_2017_12_31_17_29_40\15.jpg,"[[127.0, 93.0, 143.0, 72.0]]"
.\rgb_\C501_2017_12_31_17_29_40\16.jpg,"[[1.0, 136.0, 69.0, 54.0], [212.0, 97.0, 139.0, 64.0]]"
.\rgb_\C501_2017_12_31_17_29_40\17.jpg,"[[1.0, 129.0, 112.0, 60.0], [243.0, 88.0, 108.0, 77.0]]"
.\rgb_\C501_2017_12_31_17_29_40\18.jpg,"[[1.0, 113.0, 100.0, 35.0], [1.0, 136.0, 149.0, 59.0], [281.0, 94.0, 70.0, 59.0]]"
.\rgb_\C501_2017_12_31_17_29_40\19.jpg,"[[1.0, 113.0, 133.0, 43.0], [48.0, 138.0, 151.0, 54.0]]"
.\rgb_\C501_2017_12_31_17_29_40\20.jpg,"[[119.0, 132.0, 141.0, 52.0], [59.0, 102.0, 137.0, 51.0]]"
.\rgb_\C501_2017_12_31_17_49_45\1.jpg,"[[1.0, 116.0, 51.0, 87.0], [152.0, 118.0, 180.0, 84.0], [80.0, 84.0, 106.0, 43.0]]"
.\rgb_\C501_2017_12_31_17_49_45\2.jpg,"[[1.0, 115.0, 106.0, 94.0], [205.0, 118.0, 146.0, 87.0], [95.0, 76.0, 133.0, 59.0]]"
.\rgb_\C501_2017_12_31_17_49_45\3.jpg,"[[1.0, 122.0, 137.0, 82.0], [132.0, 83.0, 100.0, 45.0], [257.0, 118.0, 94.0, 82.0]]"
.\rgb_\C501_2017_12_31_17_49_45\4.jpg,"[[1.0, 115.0, 168.0, 83.0], [146.0, 73.5, 103.5, 48.0], [275.0, 129.0, 76.0, 67.0]]"
.\rgb_\C501_2017_12_31_17_49_45\5.jpg,"[[185.0, 69.0, 85.0, 43.0], [71.0, 122.0, 162.0, 73.0]]"
.\rgb_\C501_2017_12_31_17_49_45\6.jpg,"[[103.0, 123.0, 185.0, 85.0], [195.0, 66.0, 81.0, 47.0]]"
.\rgb_\C501_2017_12_31_17_49_45\7.jpg,"[[128.0, 125.0, 180.0, 72.0], [205.0, 50.0, 91.0, 60.0]]"
.\rgb_\C501_2017_12_31_17_49_45\8.jpg,"[[196.0, 111.0, 149.0, 104.0], [230.0, 59.0, 77.0, 45.0]]"
.\rgb_\C501_2017_12_31_17_49_45\9.jpg,"[[1.0, 85.0, 76.0, 73.0], [225.0, 113.0, 126.0, 102.0], [228.0, 59.0, 101.0, 47.0]]"
.\rgb_\C501_2017_12_31_17_49_45\10.jpg,"[[1.0, 89.0, 148.0, 80.0], [251.0, 60.0, 78.0, 44.0], [258.0, 120.0, 93.0, 81.0]]"
.\rgb_\C501_2017_12_31_17_49_45\11.jpg,"[[21.0, 98.0, 134.0, 53.0], [268.0, 59.0, 56.0, 32.0]]"
.\rgb_\C501_2017_12_31_17_49_45\12.jpg,"[[78.0, 98.0, 160.0, 48.0]]"
.\rgb_\C501_2017_12_31_17_49_45\13.jpg,"[[127.0, 99.0, 138.0, 53.0]]"
.\rgb_\C501_2017_12_31_17_49_45\14.jpg,"[[1.0, 86.0, 91.0, 92.0], [173.0, 91.0, 120.0, 65.0]]"
.\rgb_\C501_2017_12_31_17_49_45\15.jpg,"[[1.0, 82.0, 136.0, 103.0], [222.0, 93.0, 129.0, 63.0]]"
.\rgb_\C501_2017_12_31_17_49_45\16.jpg,"[[1.0, 69.0, 178.0, 122.0], [251.0, 89.0, 100.0, 68.0]]"
.\rgb_\C501_2017_12_31_17_49_45\17.jpg,"[[1.0, 84.0, 219.0, 105.0], [291.0, 101.0, 60.0, 42.0]]"
.\rgb_\C501_2017_12_31_17_49_45\18.jpg,"[[1.0, 78.0, 292.0, 111.0]]"
.\rgb_\C501_2017_12_31_17_49_45\19.jpg,"[[3.0, 73.0, 348.0, 119.0]]"
.\rgb_\C501_2017_12_31_17_49_45\20.jpg,"[[12.0, 88.0, 339.0, 110.0]]"
.\rgb_\C501_2017_12_31_17_9_38\1.jpg,"[[1.0, 94.0, 63.0, 53.0], [250.0, 62.0, 75.0, 41.0]]"
.\rgb_\C501_2017_12_31_17_9_38\2.jpg,"[[1.0, 99.0, 91.0, 43.0], [271.0, 49.0, 64.0, 48.0]]"
.\rgb_\C501_2017_12_31_17_9_38\3.jpg,"[[288.0, 55.0, 55.0, 34.0], [56.0, 92.0, 95.0, 39.0]]"
.\rgb_\C501_2017_12_31_17_9_38\4.jpg,"[[298.0, 50.0, 44.0, 40.0], [76.0, 82.0, 89.0, 65.0]]"
.\rgb_\C501_2017_12_31_17_9_38\5.jpg,"[[139.0, 76.0, 80.0, 46.0], [310.0, 51.0, 41.0, 30.0]]"
.\rgb_\C501_2017_12_31_17_9_38\6.jpg,"[[161.0, 75.0, 86.0, 48.0], [323.0, 52.0, 28.0, 23.0]]"
.\rgb_\C501_2017_12_31_17_9_38\7.jpg,"[[187.0, 65.0, 69.0, 44.0], [321.0, 46.0, 30.0, 31.0]]"
.\rgb_\C501_2017_12_31_17_9_38\8.jpg,"[[204.0, 73.0, 59.0, 36.0], [324.0, 54.0, 27.0, 26.0]]"
.\rgb_\C501_2017_12_31_17_9_38\9.jpg,"[[245.0, 70.0, 53.0, 33.0]]"
.\rgb_\C501_2017_12_31_17_9_38\10.jpg,"[[248.0, 69.0, 59.0, 30.0]]"
.\rgb_\C501_2017_12_31_17_9_38\11.jpg,"[[270.0, 61.0, 52.0, 27.0]]"
.\rgb_\C501_2017_12_31_17_9_38\12.jpg,"[[278.0, 59.0, 58.0, 28.0]]"
.\rgb_\C501_2017_12_31_17_9_38\13.jpg,"[[286.0, 52.0, 43.0, 33.0]]"
.\rgb_\C501_2017_12_31_17_9_38\14.jpg,"[[294.0, 63.0, 36.0, 26.0]]"
.\rgb_\C501_2017_12_31_17_9_38\15.jpg,"[[296.0, 54.0, 41.0, 24.0]]"
.\rgb_\C501_2017_12_31_17_9_38\16.jpg,"[[304.0, 53.0, 35.0, 26.0]]"
.\rgb_\C501_2017_12_31_17_9_38\17.jpg,"[[308.0, 53.0, 33.0, 23.0]]"
.\rgb_\C501_2017_12_31_17_9_38\18.jpg,"[[306.0, 49.0, 39.0, 33.0]]"
.\rgb_\C501_2017_12_31_18_29_45\1.jpg,"[[1.0, 92.0, 70.0, 55.0]]"
.\rgb_\C501_2017_12_31_18_29_45\2.jpg,"[[1.0, 89.0, 100.0, 44.0]]"
.\rgb_\C501_2017_12_31_18_29_45\3.jpg,"[[14.0, 81.0, 108.0, 58.0]]"
.\rgb_\C501_2017_12_31_18_29_45\4.jpg,"[[45.0, 70.0, 99.0, 61.0]]"
.\rgb_\C501_2017_12_31_18_29_45\5.jpg,"[[82.0, 77.0, 80.0, 50.0]]"
.\rgb_\C501_2017_12_31_18_29_45\6.jpg,"[[138.0, 70.0, 69.0, 45.0]]"
.\rgb_\C501_2017_12_31_18_29_45\7.jpg,"[[140.0, 68.0, 80.0, 44.0]]"
.\rgb_\C501_2017_12_31_18_29_45\8.jpg,"[[165.0, 61.0, 74.0, 50.0]]"
.\rgb_\C501_2017_12_31_18_29_45\9.jpg,"[[219.0, 58.0, 66.0, 38.0]]"
.\rgb_\C501_2017_12_31_18_29_45\10.jpg,"[[228.0, 57.0, 62.0, 41.0]]"
.\rgb_\C501_2017_12_31_18_29_45\11.jpg,"[[244.0, 49.0, 52.0, 48.0]]"
.\rgb_\C501_2017_12_31_18_29_45\12.jpg,"[[30.0, 118.0, 146.0, 72.0]]"
.\rgb_\C501_2017_12_31_18_29_45\13.jpg,"[[130.0, 117.0, 137.0, 74.0]]"
.\rgb_\C501_2017_12_31_18_29_45\14.jpg,"[[171.0, 118.0, 140.0, 75.0]]"
.\rgb_\C501_2017_12_31_18_29_45\15.jpg,"[[215.0, 115.0, 136.0, 71.0]]"
.\rgb_\C501_2017_12_31_18_49_40\1.jpg,"[[134.0, 108.0, 175.0, 82.0], [230.0, 65.0, 74.0, 50.0]]"
.\rgb_\C501_2017_12_31_18_49_40\2.jpg,"[[1.0, 108.0, 44.0, 51.0], [184.0, 117.0, 148.0, 59.0], [240.0, 60.0, 73.0, 45.0]]"
.\rgb_\C501_2017_12_31_18_49_40\3.jpg,"[[1.0, 95.0, 84.0, 64.0], [216.0, 107.0, 135.0, 66.0], [245.0, 57.0, 78.0, 46.0]]"
.\rgb_\C501_2017_12_31_18_49_40\4.jpg,"[[1.0, 100.0, 108.0, 66.0], [258.0, 109.0, 93.0, 60.0], [263.0, 57.0, 61.0, 38.0]]"
.\rgb_\C501_2017_12_31_18_49_40\5.jpg,"[[265.0, 52.0, 81.0, 53.0], [310.0, 106.0, 41.0, 59.0], [35.0, 99.0, 105.0, 58.0]]"
.\rgb_\C501_2017_12_31_18_49_40\6.jpg,"[[103.0, 92.0, 111.0, 63.0], [295.0, 57.0, 56.0, 41.0]]"
.\rgb_\C501_2017_12_31_18_49_40\7.jpg,"[[148.0, 83.0, 113.0, 75.0], [312.0, 51.0, 39.0, 35.0]]"
.\rgb_\C501_2017_12_31_18_49_40\8.jpg,"[[174.0, 95.0, 138.0, 65.0], [308.0, 50.0, 43.0, 40.0]]"
.\rgb_\C501_2017_12_31_18_49_40\9.jpg,"[[223.0, 91.0, 108.0, 62.0], [312.0, 42.0, 39.0, 46.0]]"
.\rgb_\C501_2017_12_31_18_49_40\10.jpg,"[[247.0, 82.0, 104.0, 75.0], [311.0, 43.0, 40.0, 40.0]]"
.\rgb_\C501_2017_12_31_18_49_40\11.jpg,"[[1.0, 112.0, 49.0, 74.0]]"
.\rgb_\C501_2017_12_31_18_49_40\12.jpg,"[[1.0, 106.0, 57.0, 49.0]]"
.\rgb_\C501_2017_12_31_18_49_40\13.jpg,"[[1.0, 115.0, 85.0, 41.0]]"
.\rgb_\C501_2017_12_31_18_49_40\14.jpg,"[[1.0, 116.0, 127.0, 37.0]]"
.\rgb_\C501_2017_12_31_18_49_40\15.jpg,"[[14.0, 111.0, 142.0, 46.0]]"
.\rgb_\C501_2017_12_31_18_49_40\16.jpg,"[[73.0, 108.0, 143.0, 47.0]]"
.\rgb_\C501_2017_12_31_18_49_40\17.jpg,"[[116.0, 102.0, 158.0, 50.0], [30.0, 90.0, 96.0, 32.0]]"
.\rgb_\C501_2017_12_31_18_49_40\18.jpg,"[[164.0, 103.0, 143.0, 53.0], [48.0, 91.0, 100.0, 29.0]]"
.\rgb_\C501_2017_12_31_18_49_40\19.jpg,"[[206.0, 99.0, 140.0, 54.0], [91.0, 79.0, 84.0, 38.0]]"
.\rgb_\C501_2017_12_31_18_49_40\20.jpg,"[[1.0, 131.0, 67.0, 67.0], [111.0, 79.0, 89.0, 36.0], [253.0, 103.0, 97.0, 54.0]]"
.\rgb_\C501_2017_12_31_18_9_39\1.jpg,"[[1.0, 114.0, 47.0, 49.0], [114.0, 74.0, 107.0, 43.0]]"
.\rgb_\C501_2017_12_31_18_9_39\2.jpg,"[[1.0, 102.0, 106.0, 60.0], [162.0, 78.0, 121.0, 55.0]]"
.\rgb_\C501_2017_12_31_18_9_39\3.jpg,"[[1.0, 128.0, 68.0, 61.0], [187.0, 72.0, 80.0, 36.0], [40.0, 116.0, 126.0, 42.0]]"
.\rgb_\C501_2017_12_31_18_9_39\4.jpg,"[[139.0, 104.0, 138.0, 44.0], [229.0, 64.0, 55.0, 36.0], [6.0, 120.0, 130.0, 66.0]]"
.\rgb_\C501_2017_12_31_18_9_39\5.jpg,"[[196.0, 97.0, 136.0, 57.0], [245.0, 61.0, 56.0, 33.0], [51.0, 118.0, 146.0, 66.0]]"
.\rgb_\C501_2017_12_31_18_9_39\6.jpg,"[[241.0, 94.0, 110.0, 56.0], [249.0, 59.0, 64.0, 37.0], [99.0, 131.0, 141.0, 54.0]]"
.\rgb_\C501_2017_12_31_18_9_39\7.jpg,"[[138.0, 120.0, 160.0, 78.0], [256.0, 60.0, 65.0, 36.0], [292.0, 99.0, 59.0, 50.0]]"
.\rgb_\C501_2017_12_31_18_9_39\8.jpg,"[[183.0, 114.0, 149.0, 85.0]]"
.\rgb_\C501_2017_12_31_18_9_39\9.jpg,"[[1.0, 145.0, 86.0, 54.0], [211.0, 114.0, 139.0, 72.0]]"
.\rgb_\C501_2017_12_31_18_9_39\10.jpg,"[[1.0, 131.0, 124.0, 69.0], [277.0, 121.0, 74.0, 63.0]]"
.\rgb_\C501_2017_12_31_18_9_39\11.jpg,"[[64.0, 125.0, 169.0, 70.0]]"
.\rgb_\C501_2017_12_31_18_9_39\12.jpg,"[[125.0, 125.0, 158.0, 66.0]]"
.\rgb_\C501_2017_12_31_18_9_39\13.jpg,"[[175.0, 118.0, 161.0, 80.0]]"
.\rgb_\C501_2017_12_31_18_9_39\14.jpg,"[[230.0, 116.0, 121.0, 82.0]]"
.\rgb_\C501_2017_12_31_18_9_39\15.jpg,"[[231.0, 133.0, 120.0, 63.0]]"
.\rgb_\C501_2017_12_31_18_9_39\16.jpg,"[[1.0, 86.0, 102.0, 53.0]]"
.\rgb_\C501_2017_12_31_18_9_39\17.jpg,"[[1.0, 136.0, 53.0, 54.0], [7.0, 91.0, 123.0, 47.0]]"
.\rgb_\C501_2017_12_31_18_9_39\18.jpg,"[[1.0, 133.0, 104.0, 56.0], [51.0, 94.0, 104.0, 33.0]]"
.\rgb_\C501_2017_12_31_18_9_39\19.jpg,"[[1.0, 133.0, 140.0, 53.0], [81.0, 78.0, 97.0, 45.0]]"
